X,Y,Z,GX,GY,GZ,Label
0.23,0.086,0.847,-4.272,21.301,-24.719,0
0.101,0.152,0.962,22.095,71.228,-22.095,0
0.076,0.132,1.078,3.906,11.292,-8.667,0
0.063,0.129,0.978,-7.324,-10.864,4.517,0
0.11,0.076,1.051,-9.399,-6.042,4.883,0
0.086,0.094,0.946,1.038,-1.831,4.639,0
0.09,0.09,0.944,3.479,3.662,0.244,0
0.106,0.099,1.014,-1.587,0.977,1.892,0
0.11,0.062,1.026,-17.395,-10.498,4.944,0
0.135,0.049,1.01,-6.836,-6.531,6.47,0
0.137,-0.015,1.009,-26.672,1.953,-1.587,0
0.13,-0.042,1.001,-1.526,2.136,0.427,0
0.124,-0.065,0.972,11.719,0.183,-1.282,0
0.141,-0.002,0.965,7.996,2.319,-0.366,0
0.147,0.005,1.021,4.7,4.395,-0.854,0
0.136,0.041,1.027,5.798,5.127,-3.784,0
0.131,0.046,1.046,4.15,-1.77,-3.479,0
0.123,0.028,1.018,-4.211,5.676,-1.16,0
0.116,0.05,0.983,-14.832,3.357,0.122,0
0.111,-0.016,1.019,0.549,-6.287,3.357,0
0.126,0.034,1.034,10.559,2.197,-2.136,0
0.086,0.014,1.053,-2.502,3.479,0.549,0
0.091,-0.007,0.928,-1.282,-2.441,-0.122,0
0.103,0.035,0.977,3.479,1.953,-0.732,0
0.101,0.026,0.98,-2.258,1.648,0.244,0
0.104,0.009,1.001,-3.357,3.113,-0.061,0
0.099,0.047,0.968,4.944,0.671,2.625,0
0.088,0.036,0.991,5.005,1.038,-0.488,0
0.089,0.051,0.979,6.165,1.648,0.488,0
0.082,0.032,1.006,-3.54,2.075,0.366,0
0.085,0.03,0.999,-0.183,0.61,-1.343,0
0.082,0.03,1.03,3.052,-1.892,0.977,0
0.083,0.035,0.995,14.282,-3.296,-2.93,0
0.096,0.052,1.019,1.099,-0.854,0.061,0
0.085,0.056,0.998,-1.953,-0.061,0.61,0
0.084,0.048,0.976,3.479,0.549,0.366,0
0.077,0.059,0.981,1.831,1.953,1.221,0
0.077,0.049,0.992,-0.183,-0.366,1.221,0
0.078,0.041,0.997,0.61,0.244,-0.244,0
0.077,0.074,1.004,1.587,2.808,-0.916,0
0.073,0.063,0.984,-1.831,0.793,2.197,0
0.073,0.044,0.997,-1.16,-0.122,1.587,0
0.076,0.051,1.004,0.671,0.366,0.427,0
0.076,0.044,1.014,1.038,0.793,1.343,0
0.069,0.042,0.991,1.221,3.54,1.831,0
0.067,0.046,1.021,-0.732,1.465,1.709,0
0.061,0.046,1.005,2.563,2.441,0,0
0.061,0.069,1.008,1.587,-2.014,0.61,0
0.057,0.054,0.997,-0.366,-0.122,0.488,0
0.06,0.063,0.996,1.404,1.221,-0.061,0
0.062,0.059,1.005,0.916,0.061,0.366,0
0.057,0.062,0.984,-0.183,1.465,0.61,0
0.054,0.06,1.015,1.343,-1.221,0.732,0
0.054,0.07,0.997,0.916,-0.305,0.427,0
0.058,0.063,0.976,2.258,2.441,0.305,0
0.053,0.069,0.996,5.92,1.282,-0.549,0
0.056,0.072,0.991,2.38,3.235,-0.549,0
0.053,0.045,1.015,-0.122,-0.427,-0.427,0
0.051,0.054,1.009,-0.977,-0.183,1.099,0
0.048,0.069,0.996,-2.93,-2.258,1.343,0
0.055,0.068,1.007,1.343,-0.366,-0.305,0
0.055,0.049,1.029,-0.183,0.977,0.244,0
0.052,0.06,0.989,-0.732,0.977,0.366,0
0.052,0.044,1.024,-0.61,0.488,0.732,0
0.058,0.082,0.976,-1.282,1.892,0.427,0
0.055,0.058,1.013,1.343,-1.282,-0.61,0
0.054,0.058,0.982,-1.648,-0.061,1.16,0
0.054,0.044,1,2.258,1.77,-0.244,0
0.052,0.061,1.01,-0.061,1.16,0.488,0
0.053,0.055,0.996,1.221,0.793,0.244,0
0.058,0.057,1.002,0.061,-0.122,0.977,0
0.055,0.05,1.006,0.122,0.427,0.183,0
0.055,0.065,1.011,-0.977,-0.305,0.977,0
0.055,0.053,1.004,-0.183,-0.061,0.305,0
0.058,0.051,1.011,-0.793,-0.366,0.793,0
0.056,0.067,1.006,0.061,-0.244,0.366,0
0.05,0.05,1,1.221,0.244,0.427,0
0.054,0.064,0.999,-0.488,-0.061,0.61,0
0.055,0.056,1,-0.916,0.977,0.427,0
0.05,0.045,1.01,1.221,1.16,0.854,0
0.055,0.057,1.01,0.549,1.709,-0.366,0
0.05,0.092,1,-1.099,-0.488,1.16,0
0.052,0.052,1.019,1.831,-0.732,0.488,0
0.058,0.061,1.025,1.526,-0.061,-0.183,0
0.054,0.067,1.01,-1.587,-1.465,1.465,0
0.051,0.053,0.995,-1.526,-0.793,1.221,0
0.054,0.054,1,0.305,0.61,0.183,0
0.053,0.057,1.007,-0.061,0.244,1.038,0
0.054,0.061,0.999,1.587,0.488,0.061,0
0.054,0.065,1.018,-0.671,0.61,0.305,0
0.051,0.067,1.002,-0.732,0.061,0.549,0
0.056,0.058,1.008,-0.305,0.671,0,0
0.057,0.053,1,-1.16,0.427,0.244,0
0.05,0.061,0.996,0.061,-0.305,0.61,0
0.052,0.055,1.004,1.404,1.404,-0.183,0
0.054,0.06,1.007,-0.427,-0.488,0,0
0.053,0.064,0.986,0.671,1.099,0.732,0
0.054,0.055,0.997,3.052,-0.305,-0.427,0
0.052,0.061,0.995,-1.282,-0.488,0.732,0
0.058,0.051,0.997,1.404,-0.183,-0.427,0
0.056,0.055,1.009,-1.221,-0.549,0.793,0
0.054,0.056,0.993,1.282,0.305,0.061,0
0.058,0.05,1.019,0.244,-0.305,0.427,0
0.06,0.06,0.999,1.099,-0.183,0.793,0
0.052,0.06,0.994,-2.502,0.427,-0.244,0
0.059,0.07,1.005,1.221,-0.122,0.122,0
0.057,0.09,0.99,-1.709,1.526,0.183,0
0.061,0.057,1.008,1.709,0.427,-0.061,0
0.059,0.043,1.005,0.916,-0.061,0.305,0
0.057,0.052,1.006,0.183,0.977,0.305,0
0.056,0.062,1,1.221,0.61,-0.183,0
0.053,0.06,0.998,-0.122,0.671,0.061,0
0.055,0.072,1.01,-0.305,-0.488,0.793,0
0.052,0.062,0.999,0.854,-0.61,0.244,0
0.053,0.07,0.99,-0.488,1.16,0.671,0
0.055,0.059,1,1.099,0.793,0.366,0
0.059,0.054,0.997,0.61,1.16,0.854,0
0.058,0.071,1.006,-0.061,0.183,0.366,0
0.056,0.048,1.017,-0.122,-0.488,0.61,0
0.054,0.075,1.001,-1.892,-0.061,0.916,0
0.056,0.052,1,-0.122,0.732,0,0
0.056,0.067,0.993,0.488,-0.305,0.366,0
0.054,0.07,1.002,-0.916,0.732,0,0
0.054,0.059,1.008,0.549,0.793,0.061,0
0.052,0.061,0.994,-0.61,0.549,0.183,0
0.059,0.057,1.015,-0.244,0.488,0.244,0
0.049,0.065,1.001,-0.244,0.793,1.038,0
0.049,0.079,1.018,-1.099,-0.793,1.099,0
-0.005,-0.981,0.01,2.625,-0.916,-2.197,1
0.014,-1.005,0.034,0.061,-1.343,0.488,1
0.008,-1.001,0.024,-1.648,-0.244,1.465,1
0.009,-1.006,0.021,0.366,0.977,1.16,1
0.005,-1.014,0.022,-1.038,-0.183,0.549,1
0.005,-1.019,0.017,2.808,0.366,-0.122,1
0.004,-1.008,0.016,2.502,0.977,0.854,1
0.009,-1.022,0.028,0.305,-0.671,0.305,1
0.004,-1.017,0.011,0.854,-1.282,0.183,1
0.01,-1.002,0.029,0.305,0.061,0.854,1
0.01,-1.024,0.04,-0.916,-0.183,0.305,1
0.005,-1.013,0.006,-2.625,-0.977,1.465,1
0.01,-1.022,0.038,2.38,-0.061,1.221,1
0.005,-1.021,0.036,-0.366,0.732,0.854,1
0.004,-1.01,0.02,2.625,-0.183,0.488,1
0.007,-1.002,0.031,-0.244,0.122,1.526,1
-0.001,-1.018,0.01,0.793,0.061,-0.61,1
0.01,-1.016,0.029,3.601,-0.793,0.305,1
-0.001,-1.02,0.044,1.892,-0.244,-0.061,1
0.001,-1.014,0.031,-0.183,0.122,0.244,1
0,-1.008,0.016,0.061,-0.183,0.061,1
0.003,-1.026,0.044,1.16,1.16,0.793,1
-0.002,-1.007,0.02,0.427,-0.488,-0.122,1
-0.001,-1.012,0.031,-0.061,-0.244,0.61,1
0,-1.026,0.034,-0.427,0.671,0.671,1
0,-1.022,0.037,-0.671,-0.061,0.244,1
0.001,-1.018,0.038,0.427,-0.061,0.366,1
0,-1.013,0.04,2.869,1.526,0.916,1
0,-1.015,0.051,0.427,-1.221,0.061,1
0.002,-1.013,0.031,1.709,0.122,-0.122,1
0.004,-1.01,0.04,1.16,0.183,0.061,1
0.008,-1.014,0.059,2.075,0.305,0.671,1
0.002,-1.013,0.066,1.16,0.488,0.427,1
0.005,-1.011,0.047,-0.61,0.061,0.488,1
0.006,-1.002,0.04,2.075,1.526,1.282,1
0.006,-1.026,0.062,3.845,0.122,-0.366,1
-0.001,-1.019,0.062,0.488,0.366,0.183,1
0.006,-1.012,0.063,1.221,0.549,0.366,1
0.005,-1.013,0.06,1.953,0.549,-0.61,1
0.008,-1.016,0.065,-0.427,-0.427,-0.305,1
0.007,-1.016,0.06,0,0,0.244,1
0.008,-1.014,0.059,-0.732,-0.305,1.221,1
0.008,-1.005,0.061,1.465,0.732,0.916,1
0.006,-1.017,0.065,2.686,0.488,0.549,1
0.005,-1.01,0.058,0.793,1.099,0.732,1
0.006,-1.026,0.074,0.061,-0.488,0.183,1
0.004,-1.011,0.057,1.892,-0.183,-0.305,1
0.007,-1.021,0.077,1.038,0,0.793,1
0.005,-1.01,0.069,1.953,0.854,0.366,1
0.007,-1.009,0.073,1.465,0.183,0.366,1
0.002,-1.016,0.065,-0.366,0.732,0.916,1
0.004,-1.013,0.078,-0.793,0.549,0.61,1
0.003,-1.02,0.073,1.709,0.122,0.793,1
0.007,-1.023,0.084,0.366,-0.549,0.305,1
0.002,-1.018,0.08,1.404,-0.366,0.061,1
0.006,-1.014,0.069,2.625,-0.183,0.244,1
0.008,-1.009,0.091,1.282,0,0.549,1
0.002,-1.016,0.082,1.404,1.282,1.648,1
0.007,-1.014,0.083,1.099,0.183,0.61,1
0.005,-1.013,0.094,1.221,0.854,0.732,1
0.003,-1.013,0.081,-0.488,-1.465,0.061,1
0.006,-1.014,0.099,1.77,0.122,0.305,1
0.003,-1.01,0.088,-0.549,-0.122,0.305,1
0.006,-1.009,0.105,1.648,0.549,1.099,1
0.007,-1.01,0.102,0.732,0.244,0.732,1
0.005,-1.016,0.096,0.366,0.244,0,1
0.003,-1.009,0.098,3.845,1.953,1.038,1
0.003,-1.012,0.104,-1.404,0.61,1.038,1
0.003,-1.01,0.101,-2.258,0.183,0.671,1
0.004,-1.008,0.106,0.916,0.854,1.587,1
0.003,-1.011,0.112,0.244,0.488,0.183,1
0.005,-1.016,0.101,-0.61,0.183,0.427,1
0.006,-1.008,0.114,0.244,0.244,0.244,1
0.001,-1.016,0.087,-0.244,-0.854,0,1
0.01,-1.01,0.113,2.014,0.549,0.488,1
0.007,-1.008,0.125,-0.977,0.427,0.732,1
0.005,-1.005,0.084,0.122,-0.366,-0.305,1
0.01,-1.004,0.098,2.502,0.854,0.427,1
0.009,-1.018,0.128,-0.061,0.549,0.977,1
0.009,-1,0.114,0.305,-0.549,0.916,1
0.011,-1.008,0.123,1.648,0.61,0.793,1
0.006,-1.009,0.121,0.183,-0.061,0.427,1
0.008,-1.017,0.126,0.549,0,0.244,1
0.007,-1.016,0.122,0.488,0,0.366,1
0.004,-1.001,0.116,1.892,0.488,0.732,1
0.012,-1.005,0.13,0.366,0.122,0.488,1
0.008,-1.008,0.12,1.343,0.488,0.366,1
0.01,-1.012,0.125,1.709,0.61,0.549,1
